Timestamp,Generation,AliveCount,AvgLength,MaxLength,Aggressiveness
2025-12-28 18:07:42,55,145,1.13,2,0.2345
2025-12-28 18:07:43,144,56,1.54,4,0.0893
2025-12-28 18:07:44,172,28,1.93,4,0.1786
2025-12-28 18:07:45,187,13,2.00,4,0.1538
2025-12-28 18:07:46,192,18,1.50,6,0.1111
2025-12-28 18:07:47,195,15,1.67,8,0.2667
2025-12-28 18:07:48,197,13,2.08,8,0.1538
2025-12-28 18:07:49,203,17,1.71,10,0.2353
2025-12-28 18:07:50,208,12,2.08,11,0.0000
2025-12-28 18:07:51,216,14,1.93,11,0.2857
2025-12-28 18:07:52,220,10,2.60,11,0.3000
2025-12-28 18:07:53,222,18,1.83,11,0.1667
2025-12-28 18:07:54,230,11,2.09,6,0.2727
2025-12-28 18:07:55,231,10,2.70,7,0.2000
2025-12-28 18:07:56,235,16,1.88,7,0.3750
2025-12-28 18:07:57,238,13,1.92,7,0.3077
2025-12-28 18:07:58,241,10,2.00,7,0.2000
2025-12-28 18:07:58,249,12,1.83,8,0.2500
2025-12-28 18:07:58,252,19,1.53,7,0.2105
2025-12-28 18:07:58,256,15,1.80,9,0.1333
2025-12-28 18:07:58,262,19,1.63,8,0.2632
2025-12-28 18:07:58,265,16,1.94,9,0.1875
2025-12-28 18:07:58,275,16,1.94,10,0.1250
2025-12-28 18:07:58,278,13,2.00,8,0.2308
2025-12-28 18:07:58,284,17,1.88,9,0.0588
2025-12-28 18:07:58,293,18,1.33,9,0.2222
2025-12-28 18:07:58,294,17,1.53,9,0.1765
2025-12-28 18:07:58,302,19,1.63,10,0.3684
2025-12-28 18:07:58,307,14,2.00,11,0.2143
2025-12-28 18:07:58,315,16,1.81,11,0.0625
2025-12-28 18:07:58,317,14,2.00,11,0.0714
2025-12-28 18:07:58,323,18,1.67,12,0.1111
2025-12-28 18:07:58,329,12,1.17,11,0.0833
2025-12-28 18:07:58,335,16,1.25,11,0.2500
2025-12-28 18:07:58,338,13,1.31,11,0.0769
2025-12-28 18:07:58,346,15,1.33,11,0.0667
2025-12-28 18:07:58,351,10,1.50,11,0.1000
2025-12-28 18:07:58,355,16,1.31,11,0.1875
2025-12-28 18:07:58,362,19,1.47,11,0.3158
2025-12-28 18:07:58,366,15,1.73,11,0.2667
2025-12-28 18:07:58,373,18,1.39,11,0.1667
2025-12-28 18:07:58,380,11,1.82,11,0.2727
2025-12-28 18:07:59,383,18,1.56,11,0.1111
2025-12-28 18:07:59,386,15,1.47,11,0.2667
2025-12-28 18:07:59,391,10,1.40,11,0.1000
2025-12-28 18:07:59,396,15,1.33,11,0.2667
2025-12-28 18:07:59,400,11,1.64,11,0.4545
2025-12-28 18:07:59,406,15,1.27,11,0.3333
